# Created At: Thu Sep 25 2025 09:26:39 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=LDHB%2CPDHB%2CGSR%2CPDP1%2CFOXM1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,monocyte,3769,0.02%,PDP1,1.86109146417356,0.1767793636719933,102
adipose tissue,monocyte,3769,0.01%,FOXM1,1.8346318054199218,0.16691683122756695,25
adipose tissue,non-classical monocyte,24,0.00%,LDHB,1.5820399920145671,0.0727661478003197,3
adipose tissue,non-classical monocyte,24,,PDHB,,,
adipose tissue,non-classical monocyte,24,0.00%,GSR,1.554187297821045,0.06238437747191267,4
adipose tissue,non-classical monocyte,24,0.00%,PDP1,1.8249690532684326,0.16331515187546994,2
adipose tissue,non-classical monocyte,24,,FOXM1,,,
adipose tissue,intermediate monocyte,43,0.00%,LDHB,1.4468748569488525,0.022384903569134196,2
adipose tissue,intermediate monocyte,43,,PDHB,,,
adipose tissue,intermediate monocyte,43,,GSR,,,
adipose tissue,intermediate monocyte,43,,PDP1,,,
adipose tissue,intermediate monocyte,43,,FOXM1,,,
adipose tissue,classical monocyte,28,0.00%,LDHB,1.7966665267944335,0.1527657117557757,5
adipose tissue,classical monocyte,28,0.00%,PDHB,1.9587042331695557,0.21316339682135968,1
adipose tissue,classical monocyte,28,0.00%,GSR,1.6477673848470051,0.09726527495585564,3
adipose tissue,classical monocyte,28,,PDP1,,,
adipose tissue,classical monocyte,28,,FOXM1,,,
adipose tissue,dendritic cell,2534,0.04%,LDHB,1.9397091749237805,0.20608320807149663,164
adipose tissue,dendritic cell,2534,0.02%,PDHB,1.7503773408777574,0.1355119519027116,85
adipose tissue,dendritic cell,2534,0.02%,GSR,1.8151577035176385,0.15965808448311306,97
