# Created At: Thu Sep 25 2025 08:53:49 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CPT1A%2CCPT2%2CSLC25A20%2CACADM%2CACADL%2CHADH%2CHADHA%2CHADHB%2CACAA2%2CPPARA%2CCD36%2CACOX1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,,CPT2,,,
abdomen,aggregated,243313,,SLC25A20,,,
abdomen,aggregated,243313,,ACADM,,,
abdomen,aggregated,243313,,ACADL,,,
abdomen,aggregated,243313,,HADH,,,
abdomen,aggregated,243313,,HADHA,,,
abdomen,aggregated,243313,,HADHB,,,
abdomen,aggregated,243313,,ACAA2,,,
abdomen,aggregated,243313,,PPARA,,,
abdomen,aggregated,243313,,CD36,,,
abdomen,aggregated,243313,,ACOX1,,,
adipose tissue,aggregated,448895,10.66%,CPT1A,1.8573015263586785,0.11475613033960534,47859
adipose tissue,aggregated,448895,1.01%,CPT2,1.7705316993306524,0.09361217367553855,4538
adipose tissue,aggregated,448895,2.16%,SLC25A20,1.7863008514511465,0.09745477980355481,9682
adipose tissue,aggregated,448895,7.92%,ACADM,1.8026109653688178,0.10142920678667934,35546
adipose tissue,aggregated,448895,5.35%,ACADL,1.7825874448100634,0.09654990178564936,24008
adipose tissue,aggregated,448895,6.15%,HADH,1.785134604414907,0.09717059026856958,27611
adipose tissue,aggregated,448895,10.12%,HADHA,1.8020559970621246,0.10129397284386116,45441
adipose tissue,aggregated,448895,9.58%,HADHB,1.8079220994282528,0.10272341690828614,43026
adipose tissue,aggregated,448895,3.04%,ACAA2,1.7902460905991053,0.09841615046004902,13637
adipose tissue,aggregated,448895,5.80%,PPARA,1.8144798082642566,0.10432139072237762,26058
adipose tissue,aggregated,448895,45.40%,CD36,2.8301946506641285,0.3518294398488974,203801
adipose tissue,aggregated,448895,7.54%,ACOX1,1.7985149113925922,0.10043108577234312,33829
adipose tissue,cell,448895,10.66%,CPT1A,1.8573015263586785,0.11475613033960534,47859
adipose tissue,cell,448895,1.01%,CPT2,1.7705316993306524,0.09361217367553855,4538
adipose tissue,cell,448895,2.16%,SLC25A20,1.7863008514511465,0.09745477980355481,9682
adipose tissue,cell,448895,7.92%,ACADM,1.8026109653688178,0.10142920678667934,35546
adipose tissue,cell,448895,5.35%,ACADL,1.7825874448100634,0.09654990178564936,24008
adipose tissue,cell,448895,6.15%,HADH,1.785134604414907,0.09717059026856958,27611
adipose tissue,cell,448895,10.12%,HADHA,1.8020559970621246,0.10129397284386116,45441
adipose tissue,cell,448895,9.58%,HADHB,1.8079220994282528,0.10272341690828614,43026
adipose tissue,cell,448895,3.04%,ACAA2,1.7902460905991053,0.09841615046004902,13637
adipose tissue,cell,448895,5.80%,PPARA,1.8144798082642566,0.10432139072237762,26058
adipose tissue,cell,448895,45.40%,CD36,2.8301946506641285,0.3518294398488974,203801
adipose tissue,cell,448895,7.54%,ACOX1,1.7985149113925922,0.10043108577234312,33829
adipose tissue,blood cell,3586,0.02%,CPT1A,1.6256441388811385,0.058306164614146866,84
adipose tissue,blood cell,3586,0.00%,CPT2,1.6003196716308594,0.05213513193584582,20
adipose tissue,blood cell,3586,0.01%,SLC25A20,1.7129196840174057,0.07957335399782516,34
adipose tissue,blood cell,3586,0.01%,ACADM,1.6381188469964105,0.06134598498512675,37
adipose tissue,blood cell,3586,0.00%,ACADL,1.6602907180786133,0.06674879719969934,8
adipose tissue,blood cell,3586,0.00%,HADH,1.9087793562147353,0.12730017981990574,9
adipose tissue,blood cell,3586,0.03%,HADHA,1.6884013801221027,0.0735987661394068,151
adipose tissue,blood cell,3586,0.06%,HADHB,1.6888778974425118,0.07371488324966857,265
adipose tissue,blood cell,3586,0.00%,ACAA2,1.4915515899658203,0.025630669682896443,5
adipose tissue,blood cell,3586,0.01%,PPARA,1.7289742061070033,0.08348549870240216,28
adipose tissue,blood cell,3586,0.03%,CD36,2.13350592719184,0.18206125334918102,144
adipose tissue,blood cell,3586,0.16%,ACOX1,1.7592854472876942,0.09087170185515939,708
adipose tissue,mononuclear phagocyte,61597,1.80%,CPT1A,1.8405473819916565,0.1106735026039823,8090
adipose tissue,mononuclear phagocyte,61597,0.14%,CPT2,1.783694511377186,0.09681967030220891,629
adipose tissue,mononuclear phagocyte,61597,0.43%,SLC25A20,1.784202159101989,0.09694337322823154,1923
adipose tissue,mononuclear phagocyte,61597,0.78%,ACADM,1.8089961750142491,0.10298514622620795,3509
adipose tissue,mononuclear phagocyte,61597,0.14%,ACADL,1.791602771503095,0.09874674466800637,626
adipose tissue,mononuclear phagocyte,61597,0.59%,HADH,1.7916885814580181,0.09876765472430568,2644
adipose tissue,mononuclear phagocyte,61597,1.50%,HADHA,1.7998390011119347,0.10075373820353987,6745
adipose tissue,mononuclear phagocyte,61597,1.57%,HADHB,1.809888482415495,0.10320258251332738,7041
adipose tissue,mononuclear phagocyte,61597,0.38%,ACAA2,1.8053529057058,0.10209735918073543,1694
adipose tissue,mononuclear phagocyte,61597,0.73%,PPARA,1.8141184871919958,0.10423334448147373,3267
adipose tissue,mononuclear phagocyte,61597,7.22%,CD36,2.699098209050793,0.31988403238150187,32406
adipose tissue,mononuclear phagocyte,61597,0.72%,ACOX1,1.8031414012034759,0.10155846268916553,3251
adipose tissue,professional antigen presenting cell,57968,1.70%,CPT1A,1.8362843657605126,0.10963469644823871,7610
adipose tissue,professional antigen presenting cell,57968,0.13%,CPT2,1.7748111586972892,0.09465498667278675,581
adipose tissue,professional antigen presenting cell,57968,0.40%,SLC25A20,1.7810904732339956,0.09618512173230785,1812
adipose tissue,professional antigen presenting cell,57968,0.74%,ACADM,1.8078789495357892,0.10271290219957277,3339
adipose tissue,professional antigen presenting cell,57968,0.13%,ACADL,1.7876598274243867,0.097785933270951,591
adipose tissue,professional antigen presenting cell,57968,0.58%,HADH,1.7894905228620324,0.09823203471340498,2593
adipose tissue,professional antigen presenting cell,57968,1.38%,HADHA,1.7952584250968053,0.09963754949972838,6198
adipose tissue,professional antigen presenting cell,57968,1.45%,HADHB,1.8047916165865385,0.10196058499067229,6500
adipose tissue,professional antigen presenting cell,57968,0.36%,ACAA2,1.7971936088131588,0.10010911250771236,1613
adipose tissue,professional antigen presenting cell,57968,0.68%,PPARA,1.8093233912300684,0.1030648818408108,3073
adipose tissue,professional antigen presenting cell,57968,6.91%,CD36,2.70916971538164,0.3223382437208021,31024
adipose tissue,professional antigen presenting cell,57968,0.68%,ACOX1,1.7969645182291667,0.10005328801726465,3060
adipose tissue,secretory cell,2726,0.10%,CPT1A,1.9192270132211537,0.12984605105822683,442
adipose tissue,secretory cell,2726,0.01%,CPT2,1.8440326690673827,0.11152279274797655,30
adipose tissue,secretory cell,2726,0.02%,SLC25A20,1.9331128801618302,0.13322974074498659,70
adipose tissue,secretory cell,2726,0.05%,ACADM,1.933349609375,0.13328742660648732,244
adipose tissue,secretory cell,2726,0.01%,ACADL,1.8929852682446677,0.12345149735705259,63
adipose tissue,secretory cell,2726,0.03%,HADH,1.898415872325068,0.1247748197753236,115
adipose tissue,secretory cell,2726,0.05%,HADHA,1.8785867283486912,0.11994288020275043,234
adipose tissue,secretory cell,2726,0.07%,HADHB,1.89451904296875,0.12382524555281609,310
adipose tissue,secretory cell,2726,0.02%,ACAA2,1.9057469177246094,0.12656123922018597,100
adipose tissue,secretory cell,2726,0.04%,PPARA,1.9057450568538972,0.12656078576567253,174
adipose tissue,secretory cell,2726,0.28%,CD36,2.3393395005294524,0.23221850620684514,1269
adipose tissue,secretory cell,2726,0.03%,ACOX1,1.8746375788271037,0.11898055667158335,153
adipose tissue,contractile cell,16234,0.47%,CPT1A,1.9423505199783067,0.13548075659517086,2132
adipose tissue,contractile cell,16234,0.04%,CPT2,1.8966350149601063,0.12434086280849146,188
adipose tissue,contractile cell,16234,0.08%,SLC25A20,1.8951173502604166,0.1239710402821603,375
adipose tissue,contractile cell,16234,0.29%,ACADM,1.9092761267347997,0.12742123220306698,1324
adipose tissue,contractile cell,16234,0.18%,ACADL,1.914005723110465,0.1285737339911977,817
adipose tissue,contractile cell,16234,0.25%,HADH,1.8975853594297285,0.12457244149165672,1142
adipose tissue,contractile cell,16234,0.41%,HADHA,1.8916955744659276,0.1231372264831601,1849
adipose tissue,contractile cell,16234,0.43%,HADHB,1.933888389385692,0.1334187158067511,1929
adipose tissue,contractile cell,16234,0.10%,ACAA2,1.9104091297496448,0.12769732087889668,440
adipose tissue,contractile cell,16234,0.25%,PPARA,1.896075581395349,0.12420454077749521,1118
adipose tissue,contractile cell,16234,2.10%,CD36,3.17910674595276,0.43685187765978206,9420
adipose tissue,contractile cell,16234,0.20%,ACOX1,1.9368154108861835,0.13413196853389084,883
adipose tissue,myeloid leukocyte,65250,1.82%,CPT1A,1.839755285908314,0.11048048567824195,8191
adipose tissue,myeloid leukocyte,65250,0.14%,CPT2,1.7782236894470023,0.09548654765150603,638
adipose tissue,myeloid leukocyte,65250,0.43%,SLC25A20,1.782555532729919,0.09654212549217564,1911
adipose tissue,myeloid leukocyte,65250,0.81%,ACADM,1.813038078400634,0.10397007189644654,3628
adipose tissue,myeloid leukocyte,65250,0.15%,ACADL,1.8002186184571742,0.10084624285603941,683
adipose tissue,myeloid leukocyte,65250,0.60%,HADH,1.7965131422385772,0.09994329731299435,2692
adipose tissue,myeloid leukocyte,65250,1.50%,HADHA,1.7921891546986475,0.0988896337493836,6728
adipose tissue,myeloid leukocyte,65250,1.62%,HADHB,1.8050811001183615,0.10203112595475476,7287
adipose tissue,myeloid leukocyte,65250,0.38%,ACAA2,1.80855767080717,0.10287829210111563,1712
adipose tissue,myeloid leukocyte,65250,0.73%,PPARA,1.813562137564433,0.1040977739402134,3298
adipose tissue,myeloid leukocyte,65250,7.39%,CD36,2.6930059905176833,0.31839948862863154,33167
adipose tissue,myeloid leukocyte,65250,0.89%,ACOX1,1.7971280785716524,0.10009314418515075,3988
adipose tissue,mature B cell,140,0.00%,CPT1A,1.703737803867885,0.07733592558952126,14
adipose tissue,mature B cell,140,,CPT2,,,
adipose tissue,mature B cell,140,0.00%,SLC25A20,1.5617718015398299,0.04274183794629404,7
adipose tissue,mature B cell,140,0.00%,ACADM,1.5398244222005208,0.03739372958265402,15
adipose tissue,mature B cell,140,,ACADL,,,
adipose tissue,mature B cell,140,0.00%,HADH,1.5599296794218176,0.04229295206548446,17
adipose tissue,mature B cell,140,0.01%,HADHA,1.6363495227902434,0.06091483840317265,43
adipose tissue,mature B cell,140,0.00%,HADHB,1.552156857081822,0.04039888100019039,14
adipose tissue,mature B cell,140,0.00%,ACAA2,1.5496817588806153,0.03979575234477978,20
