# Created At: Thu Sep 25 2025 08:13:56 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CTLA4%2CPDCD1%2CHAVCR2%2CLAG3%2CTOX&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,connective tissue cell,188588,0.01%,PDCD1,1.7933133996051291,0.13846642804695247,23
adipose tissue,connective tissue cell,188588,0.67%,HAVCR2,1.786014569608906,0.13598293452136706,2998
adipose tissue,connective tissue cell,188588,0.04%,LAG3,1.7977349606552564,0.13997090455163255,173
adipose tissue,connective tissue cell,188588,0.51%,TOX,1.9063904819638187,0.17694193741971687,2294
adipose tissue,progenitor cell,22033,0.01%,CTLA4,1.9635335604349773,0.19638539143749484,24
adipose tissue,progenitor cell,22033,0.00%,PDCD1,1.7387800216674805,0.1199109484554925,12
adipose tissue,progenitor cell,22033,0.16%,HAVCR2,1.8638177954632302,0.16245619225978017,736
adipose tissue,progenitor cell,22033,0.00%,LAG3,1.8226571083068848,0.14845089276461068,8
adipose tissue,progenitor cell,22033,0.12%,TOX,1.9501988571914701,0.19184813694766703,551
adipose tissue,precursor cell,51326,0.01%,CTLA4,1.8054336547851562,0.14259045549842297,40
adipose tissue,precursor cell,51326,0.00%,PDCD1,1.7245708465576173,0.11507614693147901,20
adipose tissue,precursor cell,51326,0.26%,HAVCR2,1.8274363982371795,0.15007708978590378,1170
adipose tissue,precursor cell,51326,0.01%,LAG3,1.7490087335759943,0.1233913610439509,55
adipose tissue,precursor cell,51326,0.22%,TOX,1.915743896484375,0.18012452208272978,1000
adipose tissue,mast cell,2725,0.00%,CTLA4,1.6911180019378662,0.103693511211979,4
adipose tissue,mast cell,2725,0.00%,PDCD1,2.607640027999878,0.4155484960464374,2
adipose tissue,mast cell,2725,0.03%,HAVCR2,1.902518618423327,0.17562450051000156,113
adipose tissue,mast cell,2725,,LAG3,,,
adipose tissue,mast cell,2725,0.24%,TOX,2.3296492293074325,0.32095958945698905,1073
adipose tissue,epithelial cell,109540,0.01%,CTLA4,1.8252954836244937,0.1493486240479447,54
adipose tissue,epithelial cell,109540,0.01%,PDCD1,1.7873607728539445,0.13644099246283234,41
adipose tissue,epithelial cell,109540,0.35%,HAVCR2,1.8000409823960302,0.140755549496923,1587
adipose tissue,epithelial cell,109540,0.07%,LAG3,1.7213237100018712,0.11397127908045904,334
adipose tissue,epithelial cell,109540,1.02%,TOX,2.1124316576679756,0.24704932807411925,4584
adipose tissue,mesothelial cell,64233,0.00%,CTLA4,1.7711793263753255,0.130935107603882,15
adipose tissue,mesothelial cell,64233,0.01%,PDCD1,1.797894287109375,0.14002511683188335,30
adipose tissue,mesothelial cell,64233,0.20%,HAVCR2,1.7767461894041856,0.13282928356045984,878
adipose tissue,mesothelial cell,64233,0.05%,LAG3,1.714531762259347,0.11166025686821379,224
adipose tissue,mesothelial cell,64233,0.13%,TOX,1.8298496077085111,0.15089820633486228,586
adipose tissue,endothelial cell,45303,0.01%,CTLA4,1.8461094391651642,0.1564307623980401,39
adipose tissue,endothelial cell,45303,0.00%,PDCD1,1.7586330067027698,0.12666610781996585,11
adipose tissue,endothelial cell,45303,0.16%,HAVCR2,1.8288882407550247,0.15057109245415387,709
adipose tissue,endothelial cell,45303,0.02%,LAG3,1.7351545854048296,0.11867736067630388,110
adipose tissue,endothelial cell,45303,0.89%,TOX,2.153850606944097,0.2611425036128052,3998
adipose tissue,endothelial cell of lymphatic vessel,6146,0.01%,CTLA4,1.8975821785304858,0.17394483177958087,23
adipose tissue,endothelial cell of lymphatic vessel,6146,0.00%,PDCD1,1.5805555582046509,0.06607363058365502,4
adipose tissue,endothelial cell of lymphatic vessel,6146,0.02%,HAVCR2,1.8987788564151096,0.17435201235238668,97
adipose tissue,endothelial cell of lymphatic vessel,6146,0.00%,LAG3,1.7077310735529119,0.10934626046321555,11
adipose tissue,endothelial cell of lymphatic vessel,6146,0.02%,TOX,1.8378069741385323,0.15360577289277563,112
adipose tissue,monocyte,3769,0.01%,CTLA4,1.9832106880519702,0.20308071371027112,23
adipose tissue,monocyte,3769,0.00%,PDCD1,1.9411253929138184,0.18876080791002137,1
adipose tissue,monocyte,3769,0.09%,HAVCR2,1.8897105275848765,0.1712664306975985,405
adipose tissue,monocyte,3769,0.00%,LAG3,1.9310986200968425,0.18534910694063844,3
adipose tissue,monocyte,3769,0.04%,TOX,2.1663163391470213,0.2653840827746249,171
adipose tissue,non-classical monocyte,24,,CTLA4,,,
adipose tissue,non-classical monocyte,24,,PDCD1,,,
