# Created At: Thu Sep 25 2025 10:10:00 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=SLC9A1%2CSLC4A2%2CSLC4A3%2CCA2%2CCA9%2CCA4%2CSLC4A7%2CSLC4A4%2CSLC4A5&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,mature B cell,140,,SLC4A3,,,
adipose tissue,mature B cell,140,0.00%,CA2,1.650027910868327,0.06479235946052662,3
adipose tissue,mature B cell,140,,CA9,,,
adipose tissue,mature B cell,140,,CA4,,,
adipose tissue,mature B cell,140,0.01%,SLC4A7,1.7440814971923828,0.0879054102845897,26
adipose tissue,mature B cell,140,,SLC4A4,,,
adipose tissue,mature B cell,140,0.00%,SLC4A5,1.603068470954895,0.05325238566676729,1
adipose tissue,memory B cell,125,0.00%,SLC9A1,1.5131641626358032,0.031158992648005524,1
adipose tissue,memory B cell,125,0.00%,SLC4A2,1.5356438159942627,0.036683219749683874,1
adipose tissue,memory B cell,125,,SLC4A3,,,
adipose tissue,memory B cell,125,0.00%,CA2,1.7988781929016113,0.10137133819247833,1
adipose tissue,memory B cell,125,,CA9,,,
adipose tissue,memory B cell,125,,CA4,,,
adipose tissue,memory B cell,125,0.01%,SLC4A7,1.7500120544433593,0.08936280576002173,25
adipose tissue,memory B cell,125,,SLC4A4,,,
adipose tissue,memory B cell,125,0.00%,SLC4A5,1.603068470954895,0.05325238566676729,1
adipose tissue,alpha-beta T cell,20182,0.10%,SLC9A1,1.6816283904754363,0.07255796968093223,444
adipose tissue,alpha-beta T cell,20182,0.03%,SLC4A2,1.673740234375,0.07061950715139767,125
adipose tissue,alpha-beta T cell,20182,0.00%,SLC4A3,1.897138786315918,0.12551823336522083,5
adipose tissue,alpha-beta T cell,20182,0.01%,CA2,1.9283036624684053,0.13317679689895223,34
adipose tissue,alpha-beta T cell,20182,0.00%,CA9,1.8752601941426594,0.12014171310030312,3
adipose tissue,alpha-beta T cell,20182,0.01%,CA4,1.8513369126753374,0.11426272387678263,44
adipose tissue,alpha-beta T cell,20182,0.81%,SLC4A7,1.8189883519998629,0.10631327764937917,3644
adipose tissue,alpha-beta T cell,20182,0.14%,SLC4A4,1.9465985097929628,0.1376726354156683,643
adipose tissue,alpha-beta T cell,20182,0.00%,SLC4A5,1.7030649185180664,0.07782585559049948,16
adipose tissue,mature alpha-beta T cell,17631,0.08%,SLC9A1,1.6208607534344277,0.05762472217511312,356
adipose tissue,mature alpha-beta T cell,17631,0.02%,SLC4A2,1.5444554946001838,0.038848631866583376,85
adipose tissue,mature alpha-beta T cell,17631,0.00%,SLC4A3,1.8387675285339355,0.11117388031598065,2
adipose tissue,mature alpha-beta T cell,17631,0.01%,CA2,1.8758214314778645,0.12027963348760513,27
adipose tissue,mature alpha-beta T cell,17631,,CA9,,,
adipose tissue,mature alpha-beta T cell,17631,0.00%,CA4,1.5621880849202474,0.04320629941896985,15
adipose tissue,mature alpha-beta T cell,17631,0.70%,SLC4A7,1.77561875,0.09565548293447595,3125
adipose tissue,mature alpha-beta T cell,17631,0.06%,SLC4A4,1.7137372306223666,0.08044850616362137,267
adipose tissue,mature alpha-beta T cell,17631,0.00%,SLC4A5,1.489180850982666,0.025265251400772255,10
adipose tissue,memory T cell,140,0.00%,SLC9A1,1.6037026643753052,0.053408234532622584,1
adipose tissue,memory T cell,140,0.00%,SLC4A2,1.5376919507980347,0.037186535419657496,4
adipose tissue,memory T cell,140,,SLC4A3,,,
adipose tissue,memory T cell,140,,CA2,,,
adipose tissue,memory T cell,140,,CA9,,,
adipose tissue,memory T cell,140,0.00%,CA4,1.6302380561828613,0.05992913270838524,1
adipose tissue,memory T cell,140,0.01%,SLC4A7,1.6584607637845552,0.06686467765340326,39
adipose tissue,memory T cell,140,0.00%,SLC4A4,1.5625011920928955,0.043283243449257644,1
adipose tissue,memory T cell,140,0.00%,SLC4A5,1.3879467248916626,0.0003876301114656282,1
adipose tissue,mononuclear cell,112156,0.78%,SLC9A1,1.7977554705377574,0.10109543654883807,3496
adipose tissue,mononuclear cell,112156,0.28%,SLC4A2,1.7733910433046378,0.09510803865208985,1256
adipose tissue,mononuclear cell,112156,0.02%,SLC4A3,1.776354337993421,0.09583624885039682,95
adipose tissue,mononuclear cell,112156,0.09%,CA2,1.8622192991641988,0.11693699884953632,401
adipose tissue,mononuclear cell,112156,0.01%,CA9,1.896634747905116,0.12539436923774347,62
adipose tissue,mononuclear cell,112156,0.11%,CA4,1.8740696877426242,0.11984915397517225,483
adipose tissue,mononuclear cell,112156,6.81%,SLC4A7,1.9734738372093024,0.1442770705336125,30573
adipose tissue,mononuclear cell,112156,0.83%,SLC4A4,1.956964463011578,0.14022000030568132,3714
adipose tissue,mononuclear cell,112156,0.19%,SLC4A5,1.797126219258506,0.10094080218169832,845
adipose tissue,naive T cell,28,,SLC9A1,,,
adipose tissue,naive T cell,28,,SLC4A2,,,
adipose tissue,naive T cell,28,,SLC4A3,,,
adipose tissue,naive T cell,28,,CA2,,,
adipose tissue,naive T cell,28,,CA9,,,
adipose tissue,naive T cell,28,,CA4,,,
adipose tissue,naive T cell,28,0.00%,SLC4A7,1.7349727948506672,0.0856670065363268,6
adipose tissue,naive T cell,28,,SLC4A4,,,
adipose tissue,naive T cell,28,,SLC4A5,,,
adipose tissue,lymphocyte of B lineage,16322,0.08%,SLC9A1,1.7556608333144077,0.09075095605011908,344
adipose tissue,lymphocyte of B lineage,16322,0.01%,SLC4A2,1.6393792046440971,0.06217550987732059,45
adipose tissue,lymphocyte of B lineage,16322,,SLC4A3,,,
adipose tissue,lymphocyte of B lineage,16322,0.02%,CA2,1.7057386575285922,0.07848290938351107,97
adipose tissue,lymphocyte of B lineage,16322,0.00%,CA9,1.5178755521774292,0.032316785669872554,1
adipose tissue,lymphocyte of B lineage,16322,0.00%,CA4,2.6110547383626304,0.3009583875227945,9
adipose tissue,lymphocyte of B lineage,16322,0.69%,SLC4A7,1.8032035543970255,0.10243426735853378,3093
adipose tissue,lymphocyte of B lineage,16322,0.01%,SLC4A4,1.8704251098632811,0.11895352290941706,25
adipose tissue,lymphocyte of B lineage,16322,0.00%,SLC4A5,1.7979393005371094,0.10114061156325348,17
adipose tissue,connective tissue cell,188588,0.84%,SLC9A1,1.799207241340957,0.10145219968430887,3793
adipose tissue,connective tissue cell,188588,0.46%,SLC4A2,1.7742228924152852,0.0953124601050486,2051
adipose tissue,connective tissue cell,188588,0.12%,SLC4A3,1.7907149619844616,0.09936527783422075,541
adipose tissue,connective tissue cell,188588,0.06%,CA2,1.797138539395591,0.10094382977443278,258
adipose tissue,connective tissue cell,188588,0.03%,CA9,1.7578099365234374,0.09127908404223327,125
adipose tissue,connective tissue cell,188588,0.35%,CA4,1.9287879441078855,0.13329580592969667,1563
adipose tissue,connective tissue cell,188588,5.20%,SLC4A7,1.924983803435278,0.13236096335596512,23346
adipose tissue,connective tissue cell,188588,4.21%,SLC4A4,1.9131756265531645,0.12945918147732974,18913
adipose tissue,connective tissue cell,188588,0.42%,SLC4A5,1.8024011139661928,0.10223707289539852,1882
adipose tissue,progenitor cell,22033,0.13%,SLC9A1,1.8082860763386899,0.10368326372904282,562
adipose tissue,progenitor cell,22033,0.09%,SLC4A2,1.8080390989014299,0.10362257064669592,389
adipose tissue,progenitor cell,22033,0.02%,SLC4A3,1.7694676717122395,0.0941438958632721,84
adipose tissue,progenitor cell,22033,0.01%,CA2,1.8892638377654247,0.12358301650429951,39
adipose tissue,progenitor cell,22033,0.00%,CA9,1.8945829391479492,0.12489015071786418,10
adipose tissue,progenitor cell,22033,0.03%,CA4,1.8518253380144145,0.11438275119447526,142
adipose tissue,progenitor cell,22033,0.98%,SLC4A7,1.9208121921705164,0.13133581729881783,4416
adipose tissue,progenitor cell,22033,0.83%,SLC4A4,2.0417235546458112,0.16104899013275392,3748
adipose tissue,progenitor cell,22033,0.20%,SLC4A5,1.796877574179731,0.10087969928740696,901
adipose tissue,precursor cell,51326,0.26%,SLC9A1,1.7942165339225233,0.10022576612958133,1181
adipose tissue,precursor cell,51326,0.21%,SLC4A2,1.7588078724843916,0.09152432024731773,941
adipose tissue,precursor cell,51326,0.06%,SLC4A3,1.7452962802768166,0.08820393524539227,289
adipose tissue,precursor cell,51326,0.01%,CA2,1.8552233378092449,0.1152177873161971,60
adipose tissue,precursor cell,51326,0.01%,CA9,1.8154856363932292,0.105452508304982,63
adipose tissue,precursor cell,51326,0.08%,CA4,1.8084724041403932,0.1037290525619733,337
adipose tissue,precursor cell,51326,2.11%,SLC4A7,1.8981316012981175,0.12576221112342567,9456
adipose tissue,precursor cell,51326,1.47%,SLC4A4,2.007020684591266,0.1525209878453344,6618
adipose tissue,precursor cell,51326,0.44%,SLC4A5,1.7875814457054828,0.09859523679862932,1988
adipose tissue,mast cell,2725,0.05%,SLC9A1,1.9307064700436283,0.13376727107199676,231
adipose tissue,mast cell,2725,0.01%,SLC4A2,1.922276680929619,0.13169570578838358,57
adipose tissue,mast cell,2725,0.00%,SLC4A3,1.3931584358215332,0.0016683738269406736,1
adipose tissue,mast cell,2725,0.00%,CA2,1.8654972712198894,0.11774253894305274,3
adipose tissue,mast cell,2725,0.00%,CA9,1.8444806337356567,0.11257783837916008,1
adipose tissue,mast cell,2725,0.01%,CA4,1.8318710327148438,0.1094791117845032,38
adipose tissue,mast cell,2725,0.10%,SLC4A7,1.9618240567396312,0.14141421353253059,434
adipose tissue,mast cell,2725,0.05%,SLC4A4,1.9590530043922811,0.14073324562642894,217
adipose tissue,mast cell,2725,0.02%,SLC4A5,1.8256979654001635,0.10796212105442113,86
adipose tissue,epithelial cell,109540,0.48%,SLC9A1,1.7602001048900462,0.09186645221281164,2160
